Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
3.3,44711936,44711936,1.9,82538496,82538496,16,52977664,18,20,16,829980672,829980672,829980672,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.7,82698240,82698240,15,52977664,18,25,12,829206528,829206528,829206528,8126898176,8126898176,8126898176
2.9,44711936,44711936,1.7,82808832,82808832,15,52977664,17,18,17,828948480,828948480,828948480,8126898176,8126898176,8126898176
3.7,44711936,44711936,1.8,82833408,82833408,15,52977664,20,13,26,828948480,828948480,828948480,8126898176,8126898176,8126898176
3.2,44711936,44711936,1.7,82731008,82731008,15,52977664,16,11,21,829206528,829206528,829206528,8126898176,8126898176,8126898176
1.9,44711936,44711936,1.3,82874368,82874368,14,52977664,15,8.4,21,828948480,828948480,828948480,8126898176,8126898176,8126898176
0.92,44711936,44711936,0.72,82837504,82837504,7.9,47288320,4.2,4.2,4.2,828948480,828948480,828948480,8126898176,8126898176,8126898176
0.071,44711936,44711936,0.35,82747392,82747392,0.045,47288320,2.9,3.2,2.6,828948480,828948480,828948480,8126898176,8126898176,8126898176
0.0032,44711936,44711936,0.22,82837504,82837504,0,47288320,4,3.4,4.6,828948480,828948480,828948480,8126898176,8126898176,8126898176
0.0097,44711936,44711936,0.2,82747392,82747392,0,47288320,2.9,2.6,3.2,829980672,829980672,829980672,8126898176,8126898176,8126898176
0.011,44711936,44711936,0.24,82837504,82837504,0,47288320,3.9,3.8,4,830242816,830242816,830242816,8126898176,8126898176,8126898176
0.0045,44711936,44711936,0.26,82747392,82747392,0,47288320,3.1,2.8,3.4,829210624,829210624,829210624,8126898176,8126898176,8126898176
0.35,44711936,44711936,0.38,82755584,82755584,7.4,53178368,14,14,14,828952576,828952576,828952576,8126898176,8126898176,8126898176
2.5,44711936,44711936,1.3,82657280,82657280,14,53178368,21,27,15,829194240,829194240,829194240,8126898176,8126898176,8126898176
3.4,44711936,44711936,2,82903040,82903040,19,53178368,19,20,18,828936192,828936192,828936192,8126898176,8126898176,8126898176
2.9,44711936,44711936,2,82780160,82780160,21,53178368,19,12,27,829194240,829194240,829194240,8126898176,8126898176,8126898176
3.3,44711936,44711936,1.9,83197952,83197952,15,53178368,20,22,19,829710336,829710336,829710336,8126898176,8126898176,8126898176
