Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
0.026,44507136,0.28,88076288,4.2,3.7,4.7,823476224,8346394624,2.8,2.8,2.8,869208064,8126898176
1.3,44507136,0.26,88076288,4.1,4,4.2,823218176,8346394624,2.6,2.6,2.6,868945920,8126898176
3.4,44642304,0.91,88117248,6.8,6.6,7,824229888,8346394624,4.7,4.4,5,871206912,8126898176
4.7,45252608,1.6,88137728,18,19,16,823529472,8346394624,25,25,25,872292352,8126898176
4.4,45264896,1.9,88420352,16,16,17,824885248,8346394624,31,32,31,874577920,8126898176
4.3,45268992,2,88440832,23,28,18,826060800,8346394624,27,27,27,875266048,8126898176
4.6,45400064,2,88403968,21,19,22,827539456,8346394624,25,25,24,874266624,8126898176
4.8,45289472,1.8,88334336,16,16,16,829722624,8346394624,32,33,32,875245568,8126898176
4.6,45289472,2,88236032,21,20,22,831078400,8346394624,27,27,27,876023808,8126898176
5.1,45420544,2,88252416,21,20,22,834117632,8346394624,22,23,22,876679168,8126898176
5.3,45293568,2.2,88461312,19,20,18,832864256,8346394624,32,33,32,876871680,8126898176
5.3,45297664,2.2,88485888,23,25,21,833249280,8346394624,29,29,29,877568000,8126898176
5.7,45301760,2,88440832,22,27,17,832413696,8346394624,22,22,22,878264320,8126898176
