"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","Avg Host CPU Usage","Host CPU 0 Usage","Host CPU 1 Usage","Host Mem Usage","Host Mem Total"
2022-01-12 22:31:05,12,46211072,8.2,90054656,64,66,62,1072218112,8346394624
2022-01-12 22:31:10,11,45912064,6.7,90193920,68,71,64,1073938432,8346394624
2022-01-12 22:31:15,11,46153728,5.1,90365952,54,56,52,1073782784,8346394624
2022-01-12 22:31:20,9.2,46063616,4.9,90439680,61,62,61,1062600704,8346394624
2022-01-12 22:31:25,9.1,46063616,5.5,90361856,67,69,65,1070936064,8346394624
2022-01-12 22:31:30,11,46067712,6.3,90640384,57,58,55,1059536896,8346394624
2022-01-12 22:31:35,11,46075904,6.0,90570752,60,62,57,1060913152,8346394624
2022-01-12 22:31:40,11,46137344,6.5,90632192,72,75,69,1065041920,8346394624
2022-01-12 22:31:45,11,46137344,6.8,90951680,61,63,59,1062481920,8346394624
2022-01-12 22:31:50,10,46219264,6.6,91136000,63,64,62,1063243776,8346394624
2022-01-12 22:31:55,11,46227456,6.6,91197440,67,69,65,1063272448,8346394624
2022-01-12 22:32:00,7.7,46247936,4.8,91123712,51,53,49,1063100416,8346394624
2022-01-12 22:32:05,2.6,46247936,2.0,91127808,12,12,11,1064919040,8346394624
2022-01-12 22:32:10,0.29,46247936,0.38,91242496,4.0,4.0,4.0,1064116224,8346394624
2022-01-12 22:32:15,0.012,46247936,0.35,91136000,6.0,6.4,5.6,1064308736,8346394624
2022-01-12 22:32:20,0.014,46247936,0.32,91246592,3.9,3.6,4.2,1064017920,8346394624
2022-01-12 22:32:25,0.014,46247936,0.31,91136000,3.9,3.2,4.6,1063919616,8346394624
2022-01-12 22:32:30,0.011,46247936,0.32,91136000,3.4,3.4,3.4,1063763968,8346394624
2022-01-12 22:32:35,0.012,46247936,0.29,91136000,3.9,3.6,4.2,1064415232,8346394624
2022-01-12 22:32:40,0.0064,46247936,0.32,91136000,3.4,3.0,3.8,1063239680,8346394624
2022-01-12 22:32:45,0.012,46247936,0.36,91136000,6.0,7.4,4.6,1063149568,8346394624
2022-01-12 22:32:50,0.019,46247936,0.61,91299840,4.0,4.2,3.8,1062367232,8346394624
2022-01-12 22:32:55,0.0072,46247936,0.63,91205632,4.2,4.8,3.6,1061265408,8346394624
2022-01-12 22:33:00,0.012,46247936,0.37,91316224,3.4,3.4,3.4,1058631680,8346394624
2022-01-12 22:33:05,0.018,46247936,0.37,91205632,6.2,7.0,5.4,1041068032,8346394624
2022-01-12 22:33:10,0.012,46247936,0.40,91316224,3.6,3.2,4.0,1040760832,8346394624
2022-01-12 22:33:15,0.012,46247936,0.35,91205632,6.0,7.0,5,1041551360,8346394624
2022-01-12 22:33:20,0.013,46247936,0.32,91316224,3.7,4.2,3.2,1041317888,8346394624
2022-01-12 22:33:25,2.3,45842432,1.3,91226112,10,11,9.0,1040658432,8346394624
2022-01-12 22:33:30,9.7,47976448,4.8,91197440,25,26,25,1042276352,8346394624
2022-01-12 22:33:35,15,48410624,8.5,91312128,35,35,34,1044635648,8346394624
2022-01-12 22:33:40,19,44044288,8.9,91320320,32,33,30,1039544320,8346394624
2022-01-12 22:33:45,19,44208128,8.5,91418624,37,39,34,1040711680,8346394624
2022-01-12 22:33:50,14,44437504,7.6,91361280,32,33,32,1040347136,8346394624
2022-01-12 22:33:55,16,44769280,8.8,91348992,29,30,29,1041047552,8346394624
2022-01-12 22:34:00,18,44904448,9.7,91488256,35,34,35,1040080896,8346394624
2022-01-12 22:34:05,16,44912640,8.1,91312128,33,32,34,1039360000,8346394624
2022-01-12 22:34:10,15,44929024,8.2,91439104,31,31,31,1036451840,8346394624
2022-01-12 22:34:15,18,45326336,8.6,91541504,37,38,37,1036636160,8346394624
2022-01-12 22:34:20,21,46051328,10.0,91615232,37,38,36,1037283328,8346394624
2022-01-12 22:34:25,16,46551040,11,91639808,32,34,30,1038622720,8346394624
2022-01-12 22:34:30,15,47165440,8.3,92020736,31,32,30,1038983168,8346394624
2022-01-12 22:34:35,16,47427584,6.3,91844608,30,32,29,1039233024,8346394624
2022-01-12 22:34:40,16,47370240,7.7,92069888,28,30,26,1039822848,8346394624
2022-01-12 22:34:45,15,47415296,8.1,92008448,32,32,31,1040031744,8346394624
2022-01-12 22:34:50,14,47595520,8.2,92434432,34,35,34,1041309696,8346394624
2022-01-12 22:34:55,15,47939584,9.4,92545024,29,31,28,1042829312,8346394624
2022-01-12 22:35:00,17,48685056,7.6,92479488,30,29,31,1042874368,8346394624
2022-01-12 22:35:05,17,49197056,7.5,92573696,33,36,30,1044631552,8346394624
2022-01-12 22:35:10,15,49709056,9.6,92950528,32,32,31,1035735040,8346394624
2022-01-12 22:35:15,17,50216960,8.6,93036544,33,35,31,1036644352,8346394624
2022-01-12 22:35:20,18,48087040,8.7,93171712,34,36,33,1035649024,8346394624
2022-01-12 22:35:25,16,48095232,8.7,93134848,28,30,26,1035833344,8346394624
2022-01-12 22:35:30,15,48095232,6.8,93351936,28,29,26,1035599872,8346394624
