Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
9.6,43397120,5.3,86802432,32,33,31,1064869888,8346394624
9.8,43872256,4.7,86929408,21,22,20,1064673280,8346394624
7.9,43872256,4.5,86847488,22,21,23,1065553920,8346394624
7.5,44154880,4.7,87183360,25,27,24,1065492480,8346394624
8.6,44040192,4.4,87359488,21,23,19,1064873984,8346394624
8.5,44040192,4.7,87183360,25,26,25,1054339072,8346394624
8.2,44052480,4.8,87244800,25,26,25,1054515200,8346394624
9.1,44085248,4.4,87298048,21,22,20,1053970432,8346394624
8.2,44089344,4.6,87498752,22,22,22,1054269440,8346394624
8.7,44089344,4.4,87769088,21,21,22,1055268864,8346394624
9.4,44089344,4.1,87691264,23,24,22,1054756864,8346394624
7.6,44089344,4.2,87887872,21,22,21,1055866880,8346394624
9.2,44429312,5,87949312,25,27,23,1056092160,8346394624
11,45268992,5.6,87867392,25,26,24,1056808960,8346394624
9.9,45797376,5.3,88145920,25,27,23,1055952896,8346394624
9.5,46264320,6,88346624,26,27,25,1056743424,8346394624
9.1,46780416,5.7,88387584,23,23,23,1057054720,8346394624
9.5,47210496,4.3,88309760,22,23,21,1057804288,8346394624
9.4,47308800,4.7,88371200,26,27,24,1058107392,8346394624
7.1,47321088,4.1,88666112,21,22,20,1057939456,8346394624
6.1,47321088,3.3,88576000,19,18,20,1058185216,8346394624
6.5,47456256,3.3,88604672,21,22,20,1058164736,8346394624
4.4,47509504,2.5,88621056,12,11,12,1058254848,8346394624
1.2,47509504,1.2,88707072,4.2,3.6,4.8,1058512896,8346394624
0.013,47509504,0.34,88625152,5.9,5.4,6.4,1058254848,8346394624
0.013,47509504,0.41,88629248,4.1,4.4,3.8,1058250752,8346394624
0.013,47509504,0.39,88629248,4,4,4,1057992704,8346394624
0.014,47509504,0.57,88674304,4.4,4,4.8,1048334336,8346394624
0.085,47509504,0.75,88678400,5.2,4.8,5.6,1047306240,8346394624
3,47034368,1.6,88961024,10,8.8,12,1046372352,8346394624
8,47587328,3.3,88739840,27,27,27,1049194496,8346394624
8.9,47652864,4.5,89030656,33,34,32,1050468352,8346394624
8.9,47792128,4.6,89014272,30,31,29,1051004928,8346394624
9.9,47861760,5.1,89116672,27,27,26,1050415104,8346394624
9,47943680,5,89034752,30,31,29,1051017216,8346394624
9,48320512,5,88973312,34,36,32,1052037120,8346394624
9.1,45109248,5,89010176,29,29,29,1049370624,8346394624
8.9,45600768,4.1,89190400,28,30,26,1050267648,8346394624
8,45600768,4.2,89231360,31,32,31,1051246592,8346394624
7.2,45707264,4.9,89366528,26,28,24,1051496448,8346394624
