Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
8.7,44711936,44711936,4.9,90198016,90198016,27,31,23,828071936,828071936,828071936,8126898176,8126898176,8126898176
10,44711936,44711936,5.5,90341376,90341376,26,31,20,828071936,828071936,828071936,8126898176,8126898176,8126898176
10,44711936,44711936,4.3,90697728,90697728,22,23,20,828329984,828329984,828329984,8126898176,8126898176,8126898176
7.4,44711936,44711936,3.4,90501120,90501120,19,20,17,828071936,828071936,828071936,8126898176,8126898176,8126898176
6.2,44711936,44711936,3.9,90951680,90951680,20,20,20,828055552,828055552,828055552,8126898176,8126898176,8126898176
7.7,44711936,44711936,3.9,90812416,90812416,19,21,18,828055552,828055552,828055552,8126898176,8126898176,8126898176
8,44711936,44711936,3.4,90984448,90984448,21,20,23,827797504,827797504,827797504,8126898176,8126898176,8126898176
8,44711936,44711936,4.6,91250688,91250688,23,23,22,828088320,828088320,828088320,8126898176,8126898176,8126898176
8.3,44711936,44711936,4.5,91475968,91475968,22,21,22,828088320,828088320,828088320,8126898176,8126898176,8126898176
6,44711936,44711936,3,91385856,91385856,13,14,13,828346368,828346368,828346368,8126898176,8126898176,8126898176
2.4,44711936,44711936,1.5,91389952,91389952,4.8,4.4,5.2,827826176,827826176,827826176,8126898176,8126898176,8126898176
0.29,44711936,44711936,0.38,91389952,91389952,2.6,3,2.2,828084224,828084224,828084224,8126898176,8126898176,8126898176
0.0065,44711936,44711936,0.19,91475968,91475968,3.3,3,3.6,828342272,828342272,828342272,8126898176,8126898176,8126898176
0.0072,44711936,44711936,0.2,91394048,91394048,2.7,2.8,2.6,827826176,827826176,827826176,8126898176,8126898176,8126898176
0.0071,44711936,44711936,0.2,91480064,91480064,3.4,3.8,3,828084224,828084224,828084224,8126898176,8126898176,8126898176
0.0067,44711936,44711936,0.34,91631616,91631616,3.2,3.2,3.2,828084224,828084224,828084224,8126898176,8126898176,8126898176
0.6,44711936,44711936,0.67,91418624,91418624,6.8,8,5.6,828071936,828071936,828071936,8126898176,8126898176,8126898176
3,44711936,44711936,1.6,91475968,91475968,14,14,14,827813888,827813888,827813888,8126898176,8126898176,8126898176
5.1,44711936,44711936,2.4,91684864,91684864,15,16,15,828071936,828071936,828071936,8126898176,8126898176,8126898176
6.1,44711936,44711936,3.1,91623424,91623424,17,20,15,828071936,828071936,828071936,8126898176,8126898176,8126898176
6,44711936,44711936,3.6,91848704,91848704,18,19,18,827813888,827813888,827813888,8126898176,8126898176,8126898176
6.5,44711936,44711936,3.2,91938816,91938816,17,18,16,827813888,827813888,827813888,8126898176,8126898176,8126898176
6.6,44711936,44711936,2.9,92024832,92024832,17,18,15,827813888,827813888,827813888,8126898176,8126898176,8126898176
5.4,44711936,44711936,2.6,91963392,91963392,15,16,14,827813888,827813888,827813888,8126898176,8126898176,8126898176
5.2,44711936,44711936,2.6,92303360,92303360,16,17,15,828071936,828071936,828071936,8126898176,8126898176,8126898176
5.1,44711936,44711936,2.8,92368896,92368896,16,19,13,827555840,827555840,827555840,8126898176,8126898176,8126898176
5.6,44711936,44711936,2.8,92241920,92241920,17,17,17,827813888,827813888,827813888,8126898176,8126898176,8126898176
6.1,44711936,44711936,2.8,92401664,92401664,15,14,17,827813888,827813888,827813888,8126898176,8126898176,8126898176
5.4,44711936,44711936,3.1,92565504,92565504,17,18,15,827809792,827809792,827809792,8126898176,8126898176,8126898176
4.9,44711936,44711936,3.1,92631040,92631040,15,17,13,827809792,827809792,827809792,8126898176,8126898176,8126898176
5.1,44711936,44711936,3,92651520,92651520,16,16,16,828325888,828325888,828325888,8126898176,8126898176,8126898176
5.8,44711936,44711936,2.9,92725248,92725248,19,21,16,827809792,827809792,827809792,8126898176,8126898176,8126898176
6.8,44711936,44711936,3.3,92827648,92827648,21,19,23,828067840,828067840,828067840,8126898176,8126898176,8126898176
7.4,44711936,44711936,3.9,92925952,92925952,18,17,19,828325888,828325888,828325888,8126898176,8126898176,8126898176
6.8,44711936,44711936,3.3,93523968,93523968,17,15,19,828059648,828059648,828059648,8126898176,8126898176,8126898176
4.4,44711936,44711936,2.4,93446144,93446144,9.2,10,8.4,828063744,828063744,828063744,8126898176,8126898176,8126898176
1.6,44711936,44711936,0.99,93544448,93544448,3.4,3,3.8,827805696,827805696,827805696,8126898176,8126898176,8126898176
0.062,44711936,44711936,0.18,93507584,93507584,2.7,2.4,3,828063744,828063744,828063744,8126898176,8126898176,8126898176
0.0067,44711936,44711936,0.2,93507584,93507584,3.8,3.4,4.2,827789312,827789312,827789312,8126898176,8126898176,8126898176
0.0067,44711936,44711936,0.34,93720576,93720576,2.8,2.8,2.8,828035072,828035072,828035072,8126898176,8126898176,8126898176
0.0075,44711936,44711936,0.31,93577216,93577216,3.8,4.2,3.4,828035072,828035072,828035072,8126898176,8126898176,8126898176
0.089,44711936,44711936,0.18,93478912,93478912,2.6,2.2,3,828035072,828035072,828035072,8126898176,8126898176,8126898176
1.7,44711936,44711936,1.1,93523968,93523968,12,13,11,828035072,828035072,828035072,8126898176,8126898176,8126898176
6.1,44711936,44711936,2.4,93585408,93585408,22,24,20,828035072,828035072,828035072,8126898176,8126898176,8126898176
9.4,44711936,44711936,4.3,93876224,93876224,26,25,28,828035072,828035072,828035072,8126898176,8126898176,8126898176
11,44711936,44711936,4.9,94076928,94076928,24,21,27,828035072,828035072,828035072,8126898176,8126898176,8126898176
9.1,44711936,44711936,4.1,94208000,94208000,22,23,21,828035072,828035072,828035072,8126898176,8126898176,8126898176
7.4,44711936,44711936,4.4,94486528,94486528,20,21,19,828035072,828035072,828035072,8126898176,8126898176,8126898176
7.5,44711936,44711936,4,94392320,94392320,22,22,21,828293120,828293120,828293120,8126898176,8126898176,8126898176
